machine,day,cost_maintenance
M-01,Day-01,900.0
M-01,Day-02,860.0
M-01,Day-03,700.0
M-01,Day-04,840.0
M-01,Day-05,872.0
M-01,Day-06,792.0
M-01,Day-07,1248.4
M-01,Day-08,1683.3
M-01,Day-09,1872.8
M-01,Day-10,1772.3
M-01,Day-11,1675.9
M-01,Day-12,1906.4
M-01,Day-13,1656.4
M-01,Day-14,1906.4
M-01,Day-15,1906.4
M-02,Day-01,710.0
M-02,Day-02,530.0
M-02,Day-03,650.0
M-02,Day-04,530.0
M-02,Day-05,490.0
M-02,Day-06,610.0
M-02,Day-07,470.0
M-02,Day-08,479.4
M-02,Day-09,731.4
M-02,Day-10,1158.9
M-02,Day-11,1352.2
M-02,Day-12,1322.7
M-02,Day-13,1112.7
M-02,Day-14,1212.7
M-02,Day-15,1172.7
M-03,Day-01,1030.0
M-03,Day-02,720.0
M-03,Day-03,960.0
M-03,Day-04,970.0
M-03,Day-05,740.0
M-03,Day-06,900.0
M-03,Day-07,660.0
M-03,Day-08,740.0
M-03,Day-09,540.0
M-03,Day-10,770.0
M-03,Day-11,830.0
M-03,Day-12,810.0
M-03,Day-13,500.0
M-03,Day-14,668.8
M-03,Day-15,1021.0
M-04,Day-01,640.0
M-04,Day-02,620.0
M-04,Day-03,720.0
M-04,Day-04,592.6
M-04,Day-05,801.5
M-04,Day-06,795.5
M-04,Day-07,1025.6
M-04,Day-08,1529.6
M-04,Day-09,1732.2
M-04,Day-10,1500.2
M-04,Day-11,1713.4
M-04,Day-12,1583.9
M-04,Day-13,1653.9
M-04,Day-14,1823.9
M-04,Day-15,1803.9
M-05,Day-01,510.0
M-05,Day-02,490.0
M-05,Day-03,520.0
M-05,Day-04,320.0
M-05,Day-05,240.0
M-05,Day-06,450.0
M-05,Day-07,420.0
M-05,Day-08,250.0
M-05,Day-09,220.0
M-05,Day-10,280.0
M-05,Day-11,304.0
M-05,Day-12,437.0
M-05,Day-13,671.5
M-05,Day-14,855.8
M-05,Day-15,911.8
