machine,day,cumul_failure
M-01,Day-01,0
M-01,Day-02,0
M-01,Day-03,0
M-01,Day-04,0
M-01,Day-05,0
M-01,Day-06,0
M-01,Day-07,0
M-01,Day-08,0
M-01,Day-09,0
M-01,Day-10,0
M-01,Day-11,2
M-01,Day-12,50
M-01,Day-13,97
M-01,Day-14,99
M-01,Day-15,99
M-02,Day-01,0
M-02,Day-02,0
M-02,Day-03,0
M-02,Day-04,2
M-02,Day-05,7
M-02,Day-06,23
M-02,Day-07,49
M-02,Day-08,70
M-02,Day-09,87
M-02,Day-10,94
M-02,Day-11,96
M-02,Day-12,96
M-02,Day-13,96
M-02,Day-14,96
M-02,Day-15,96
M-03,Day-01,0
M-03,Day-02,1
M-03,Day-03,8
M-03,Day-04,23
M-03,Day-05,46
M-03,Day-06,70
M-03,Day-07,87
M-03,Day-08,94
M-03,Day-09,95
M-03,Day-10,95
M-03,Day-11,95
M-03,Day-12,95
M-03,Day-13,95
M-03,Day-14,95
M-03,Day-15,95
M-04,Day-01,0
M-04,Day-02,0
M-04,Day-03,0
M-04,Day-04,2
M-04,Day-05,50
M-04,Day-06,96
M-04,Day-07,98
M-04,Day-08,98
M-04,Day-09,98
M-04,Day-10,98
M-04,Day-11,98
M-04,Day-12,98
M-04,Day-13,98
M-04,Day-14,98
M-04,Day-15,98
M-05,Day-01,0
M-05,Day-02,0
M-05,Day-03,0
M-05,Day-04,0
M-05,Day-05,0
M-05,Day-06,0
M-05,Day-07,0
M-05,Day-08,0
M-05,Day-09,0
M-05,Day-10,0
M-05,Day-11,5
M-05,Day-12,21
M-05,Day-13,48
M-05,Day-14,74
M-05,Day-15,90
